,,Emissions Totals,,Emissions by Gas,,,,Emissions by Sector,,,,,,Energy Emissions by Sub-Sector,,,,,,Socio-economic Data,,
State,Year,Total GHG Emissions Excluding LUCF (MtCO2e),Total GHG Emissions Including LUCF (MtCO2e),Total CO2 (excluding LUCF) (MtCO2e),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land Use and Forestry (MtCO2e),Bunker Fuels (MtCO2e),Electric Power (MtCO2e),Commercial (MtCO2e),Residential (MtCO2e),Industrial (MtCO2e),Transportation (MtCO2e),Fugitive Emissions (MtCO2e),State GDP (Million US$ (chained 1997/2005)),Population (People),Total Energy Use (Thous. tonnes oil eq. (ktoe))
Michigan,1990,202.5547633,148.2674454,181.947154,11.95175724,7.832354741,0.823497273,183.520225,3.201922607,7.038352985,8.794262706,-54.28731791,0,67.50384355,10.71840927,22.36370051,31.53091105,50.70605629,0.697304286,229534,9311319,72426.38203
Minnesota,1990,101.0799997,127.7829873,80.13958655,7.381335404,13.07573032,0.483347448,81.40073906,0.558837869,16.74737427,2.373048521,26.70298756,0,29.75673769,5.70439886,8.20294298,12.59936029,25.13729924,0,120078,4389857,35305.11165
Mississippi,1990,59.12201214,19.31143779,49.46831262,4.941160436,4.393253049,0.319286033,50.49029845,1.090704672,6.009700432,1.531308589,-39.81057435,0,13.24531847,1.354060774,1.905082042,12.07136627,21.08270079,0.831770096,44852,2578897,25930.64213
Missouri,1990,128.1229993,109.8735356,105.7290773,10.95987696,10.5159895,0.918055469,104.8611012,4.039142278,15.39651967,3.826236162,-18.24946367,0,47.45677251,4.464763256,7.576678381,9.744802805,35.52967546,0.088408759,122285,5128880,37387.62991
Montana,1990,37.96180505,-31.02036731,28.69592046,5.505821354,3.371018557,0.38904468,30.34077899,0.66578757,6.622648531,0.332589958,-68.98217236,0,15.99026929,0.892311858,1.267767083,4.499194385,6.147606553,1.543629825,15355,800204,8758.138255
Nebraska,1990,55.96135635,48.64243274,33.77632597,9.397031357,12.61022507,0.17777395,33.65245419,1.008837565,20.69244674,0.607617858,-7.318923613,0,13.53381295,2.137240471,2.541316635,4.3274885,11.03440671,0.078188917,39011,1581660,13242.45342
Nevada,1990,33.36774188,24.35233171,30.91593165,1.328895822,0.960529355,0.162385058,31.15243618,0.463850327,1.360415608,0.391039766,-9.015410171,0,16.85733225,1.071981869,1.214715237,2.147510372,9.809039077,0.051857372,36891,1220695,10157.29438
New Hampshire,1990,15.73761322,10.9028505,14.68169679,0.496228877,0.459790091,0.099897466,15.02107488,0.112031192,0.165731252,0.438775897,-4.834762719,0,4.803103179,1.379558522,2.480089769,0.808495206,5.549828203,0,27259,1112384,6739.75292
New Jersey,1990,120.1997953,109.7955733,111.4621149,5.3909053,2.707104216,0.639670953,113.3975113,0.724502872,0.544518359,5.533262761,-10.40422205,0,12.20370372,10.99759455,15.69239723,15.26431356,59.23950228,0,253360,7762963,56593.73967
New Mexico,1990,62.76755279,57.30733715,53.02137199,7.400000485,2.141636236,0.204544078,57.71374715,0.510531109,3.931708554,0.611565975,-5.460215641,0,27.21633546,1.668436906,1.9968873,7.075582978,15.41981898,4.336685536,28714,1521574,15030.26262
New York,1990,233.8034527,220.3329666,209.7939235,16.04448048,6.244158262,1.720890462,212.7155705,2.587432211,5.299168913,13.20128103,-13.47048604,0,62.98904319,26.96263152,34.16594567,20.37077345,67.719118,0.508058677,595908,18020784,94132.16384
North Carolina,1990,125.8372041,123.120207,110.8952016,7.238871341,6.619931911,1.083199277,113.5168212,1.156453972,6.917624691,4.24630429,-2.716997115,0,46.28539846,3.780705672,5.368767783,17.57207699,40.50987229,0,161998,6664016,51801.76287
North Dakota,1990,49.53539079,48.37265809,40.85223856,3.724396161,4.822307081,0.136448988,42.01228974,0.211516103,7.038615975,0.272968971,-1.162732703,0,28.0724102,0.854580099,1.135037315,6.106592621,4.843941146,0.99972836,13161,637685,7874.918274
Ohio,1990,277.4815692,252.8489065,247.3031559,17.3919585,10.97890854,1.807546287,255.2415834,3.018204091,10.0301809,9.191600803,-24.6326627,0,108.6174451,10.63668974,20.87661257,50.54008897,59.20339865,5.367348348,264948,10864162,95020.82693
Oklahoma,1990,115.379625,106.4047791,91.80039717,15.78688454,7.303631027,0.488712301,96.48186246,3.250192748,12.98034431,2.667225524,-8.97484597,0,35.51094436,2.533531141,3.89705294,23.28551168,25.06324283,6.191579522,67083,3148825,34847.15973
Oregon,1990,39.44952281,-48.11201408,31.28214418,3.822336148,3.314496378,1.030546097,32.20786894,1.138637971,4.771411791,1.331604102,-87.56153688,0,1.812027545,1.920183558,2.093207962,5.43651768,20.94190629,0.00402591,64881,2860375,24650.22642
Pennsylvania,1990,298.4807016,275.3673449,268.9469286,21.70229612,6.533941192,1.297535778,281.1500129,5.250333601,6.378942638,5.701412493,-23.11335673,0,104.5964131,13.36057235,23.97232898,64.62725454,62.42979936,12.16364462,288955,11903299,91627.90546
Rhode Island,1990,9.684421409,9.109774783,8.920092126,0.408302439,0.286853206,0.069173638,9.2000954,0.080094367,0.037703826,0.366527816,-0.574646626,0.00E+00,0.664254563,1.123409488,2.372167093,0.658361368,4.381902888,0,25937,1005995,5360.101268
South Carolina,1990,68.6651122,62.43901189,62.07499276,2.945520776,2.747172528,0.89742613,62.3854248,2.042198023,2.420948194,1.816541179,-6.226100308,0,22.02852693,1.434412032,2.115705424,13.60654588,23.20023454,0,75344,3501155,31826.08322
South Dakota,1990,23.69432538,23.51523845,12.12928389,5.79433504,5.707508644,0.063197808,12.61386674,0.084784963,10.69498137,0.300692308,-0.17908693,0,3.113086002,0.690947975,1.379138763,2.128371971,4.917868891,0.384453141,14696,697101,5476.271319
Tennessee,1990,120.2374541,61.38203902,106.0034391,7.869982556,5.208746936,1.155285518,106.9890904,2.457786166,6.688996814,4.101580655,-58.85541505,0,46.51071307,3.447110493,3.428150926,18.89172084,34.43263137,0.27876373,110321,4894492,45158.70072
Texas,1990,691.9783848,676.9139224,612.2859435,54.08113506,22.26527003,3.346036185,633.9804077,8.738180028,37.76202529,11.49777173,-15.0644624,0,186.1642642,11.84935433,13.16114501,243.2523497,158.2550153,21.29827925,437292,17056755,259690.5889
Utah,1990,60.5128461,33.70310451,54.28134499,4.223586823,1.852274543,0.155639742,56.84791053,0.437023711,2.689062136,0.538849723,-26.80974159,0,29.14871491,1.67973085,2.788639026,9.865453436,11.16131719,2.204055115,36697,1731223,13503.36984
Vermont,1990,6.848503174,-4.503445322,5.516337814,0.730758809,0.487643894,0.113762658,5.713161758,0.120244551,0.950923252,0.064173612,-11.3519485,0,0.042426442,0.58782244,1.416297042,0.465589655,3.20102618,0,13313,564798,3178.876265
Virginia,1990,129.2896111,91.94328856,96.70176747,26.89613134,4.965839138,0.725873103,116.3593188,2.108250463,5.255895379,5.566146417,-37.34632249,0,23.1665236,4.462302798,6.572036232,19.73781363,43.60701656,18.81362597,173022,6216884,49484.05695
