No,SPECIES,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,AVE,YOC
1,"Goose, Snow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.2,1
2,"Goose, Canada ",0,1,3,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,48,2.6,7
3,"Duck,Wood ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,2
4,"Duck, American Black ",58,24,0,2,15,53,5,4,6,0,2,0,0,0,0,0,5,1,5,10,0,1,0,0,2,0,0,0,0,0,0,6.2,15
5,"Duck, Mallard",6,4,40,72,49,85,53,32,63,0,0,14,125,150,19,180,57,22,67,137,29,75,25,18,51,2,0,14,0,0,16,45.3,26
6,Northern Pintail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.1,1
7,"Merganser, Hooded ",2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0.3,5
8,"Merganser, Common",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.1,2
9,"Pheasant, Ring-necked ",0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CP,1,CP,0,0,0,2,0,0,0,0,0,0,0,2,0.4,5
10,"Grouse, Ruffed ",8,4,2,5,3,5,4,5,2,3,11,3,9,2,13,9,7,3,1,2,CP(1),1,5,0,3,3,1,1,3,1,2,4,29
11,"Grouse, Spruce ",0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,CP(1),0,1,0,0,0,0,0,0,0,0,0,0.2,4
12,"Turkey, Wild ",0,0,0,0,0,0,0,0,1,0,19,0,0,30,185,181,75,CP (6),72,65,116,64,0,75,75,36,31,86,7,128,3,41.6,18
13,"Heron, Great Blue ",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2
14,"Vulture, Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,CP,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,"Eagle, Bald",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,3,1,0,1,1,0,1,1,1,0,3,1,0.6,13
16,"Eagle, Golden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.1,1
17,"Harrier, Northern ",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.2,5
18,"Hawk, Sharp-shinned ",0,0,1,2,0,0,0,0,2,0,3,0,0,0,0,2,2,0,2,1,0,1,1,0,0,0,0,0,1,1,0,0.6,12
